time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
26,9706,12849,12520,11802,12032,11241,156885.33453762773,238633.00148395178,676285.9849880374,1306.0
27,9633,12864,12636,11801,12037,11295,158865.9576298255,240131.29622321192,707259.3035768836,1306.0
28,9478,12723,12674,11720,11951,11204,160754.75746021318,241976.90908940122,728051.8488782161,1306.0
29,9471,12778,12799,11755,12041,11252,162567.1327827307,243535.8960600609,750317.7505463071,1306.0
30,9495,12854,12907,11832,12053,11371,164248.171521059,245218.8518557474,789187.130209037,1306.0
31,9323,12520,12868,11650,11827,11234,166131.0229952837,246966.37160320932,833597.033689224,1306.0
32,9310,12542,12990,11730,11849,11263,168465.96895737364,248539.67879241338,868121.9189035082,1306.0
33,9342,12564,13082,11743,11893,11352,170847.21053754748,250213.91581577132,906412.7271551967,1306.0
34,9342,12636,13184,11774,11946,11442,172814.96570992257,251902.4145578845,973334.6094226869,1306.0
35,9365,12750,13289,11831,12002,11571,179064.19068817215,253589.30294198703,1.042619040723171e6,1306.0
36,9368,12847,13403,11879,12039,11700,183319.27168659182,255435.22278533893,1.0900447614431707e6,1306.0
37,9263,12791,13472,11888,11967,11671,187085.5232013455,257175.1689810692,1.1837256107389762e6,1306.0
38,9190,12712,13586,11804,11964,11720,190592.54400395387,258984.37770389,1.278829459579094e6,1306.0
39,9173,12725,13675,11810,12021,11742,193583.23041644087,260867.9543926087,1.3371979419991118e6,1306.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1307.0
1,11753,13573,11857,12007,13442,11734,111871.96435901763,208291.69494199732,390107.6783103874,1307.0
2,11687,13907,12332,12369,13539,12018,113029.6665084943,209387.01918894218,395204.9708228904,1307.0
3,11549,13939,12567,12554,13479,12022,114212.07180280857,210484.76276297538,400006.93127382756,1307.0
4,11363,13864,12693,12606,13372,11942,115649.25602722535,211840.45377171534,405997.182260104,1307.0
